Product_ID,Category,Brand,Price_Tier,Unit_Price,Cost_Price
1,Sports,FitLife,Premium,295.29,191.94
2,Toys,BeautyMax,Economy,44.94,24.72
3,Electronics,ValueBrand,Premium,373.05,279.79
4,Toys,TechPro,Mid-Range,149.35,82.14
5,Home & Garden,BeautyMax,Mid-Range,130.52,78.31
6,Electronics,PlayTime,Premium,956.45,717.34
7,Beauty,ValueBrand,Mid-Range,135.41,54.16
8,Electronics,PlayTime,Premium,793.14,594.86
9,Home & Garden,StyleCo,Mid-Range,179.94,107.96
10,Electronics,StyleCo,Premium,809.81,607.36
11,Beauty,PremiumChoice,Mid-Range,126.45,50.58
12,Electronics,ValueBrand,Premium,1306.61,979.96
13,Fashion,FitLife,Mid-Range,194.9,97.45
14,Books,HomeEssentials,Economy,13.2,7.92
15,Beauty,HomeEssentials,Mid-Range,56.04,22.42
16,Books,BookWorld,Economy,28.84,17.3
17,Beauty,BookWorld,Mid-Range,54.28,21.71
18,Electronics,PlayTime,Mid-Range,145.64,109.23
19,Home & Garden,BookWorld,Premium,240.71,144.43
20,Home & Garden,ValueBrand,Premium,253.15,151.89
21,Sports,HomeEssentials,Mid-Range,104.57,67.97
22,Beauty,TechPro,Economy,24.62,9.85
23,Books,PremiumChoice,Economy,46.26,27.76
24,Books,TechPro,Economy,39.93,23.96
25,Toys,TechPro,Mid-Range,78.06,42.93
26,Toys,BookWorld,Mid-Range,179.5,98.73
27,Sports,BeautyMax,Mid-Range,103.82,67.48
28,Electronics,PlayTime,Mid-Range,123.65,92.74
29,Electronics,PlayTime,Premium,1179.28,884.46
30,Sports,PlayTime,Premium,335.52,218.09
31,Toys,StyleCo,Mid-Range,139.7,76.83
32,Books,StyleCo,Economy,23.71,14.23
33,Sports,TechPro,Mid-Range,166.92,108.5
34,Toys,BeautyMax,Mid-Range,143.19,78.75
35,Home & Garden,PlayTime,Premium,356.0,213.6
36,Beauty,EcoLife,Mid-Range,77.51,31.0
37,Electronics,BeautyMax,Premium,789.88,592.41
38,Fashion,PlayTime,Mid-Range,84.44,42.22
39,Toys,PremiumChoice,Mid-Range,129.66,71.31
40,Home & Garden,BookWorld,Premium,245.34,147.2
41,Home & Garden,TechPro,Premium,214.8,128.88
42,Sports,BeautyMax,Premium,233.72,151.92
43,Toys,PlayTime,Mid-Range,199.91,109.95
44,Electronics,FitLife,Premium,590.45,442.84
45,Toys,HomeEssentials,Mid-Range,112.1,61.66
46,Toys,EcoLife,Mid-Range,131.48,72.31
47,Books,PlayTime,Economy,33.55,20.13
48,Beauty,TechPro,Mid-Range,69.03,27.61
49,Beauty,StyleCo,Mid-Range,110.07,44.03
50,Beauty,BookWorld,Mid-Range,77.94,31.18
51,Beauty,BeautyMax,Mid-Range,90.06,36.02
52,Electronics,TechPro,Premium,469.23,351.92
53,Fashion,FitLife,Mid-Range,137.33,68.67
54,Home & Garden,BeautyMax,Premium,277.43,166.46
55,Home & Garden,PlayTime,Mid-Range,79.49,47.69
56,Electronics,FitLife,Premium,1366.35,1024.76
57,Toys,TechPro,Mid-Range,98.28,54.05
58,Toys,EcoLife,Economy,45.47,25.01
59,Fashion,EcoLife,Premium,266.17,133.09
60,Books,BeautyMax,Economy,37.51,22.51
61,Fashion,StyleCo,Premium,284.25,142.12
62,Books,FitLife,Economy,16.53,9.92
63,Home & Garden,BookWorld,Premium,497.01,298.21
64,Home & Garden,EcoLife,Premium,420.76,252.46
65,Beauty,TechPro,Mid-Range,95.54,38.22
66,Sports,PlayTime,Mid-Range,94.58,61.48
67,Sports,ValueBrand,Premium,318.12,206.78
68,Sports,FitLife,Mid-Range,74.17,48.21
69,Electronics,FitLife,Premium,603.31,452.48
70,Sports,ValueBrand,Mid-Range,155.67,101.19
71,Fashion,StyleCo,Mid-Range,143.78,71.89
72,Books,StyleCo,Economy,37.24,22.34
73,Toys,StyleCo,Economy,24.73,13.6
74,Fashion,PremiumChoice,Mid-Range,131.7,65.85
75,Sports,PremiumChoice,Premium,382.9,248.88
76,Beauty,EcoLife,Mid-Range,63.77,25.51
77,Books,FitLife,Economy,37.73,22.64
78,Books,HomeEssentials,Economy,15.14,9.08
79,Home & Garden,PlayTime,Premium,439.03,263.42
80,Sports,StyleCo,Mid-Range,106.8,69.42
81,Beauty,BookWorld,Mid-Range,71.93,28.77
